company,number_points,city,modal,area,website,title,day,limite
Embaixada dos EUA em Cabo Verde,1,Praia,Contrato,Aquisição,vagas CV,Supervisor de Aquisições,2023-10-03,2023-10-09
Instituto Internacional da Língua Portuguesa,1,Praia,Contrato,Administração,vagas CV,Secretaria do IILP,2023-10-03,2023-10-09
Importex Lda,1,Praia,Contrato,Armazém,vagas CV,Fiel de Armazém,2023-10-05,2023-10-13
Grupo Socid,1,Santa Catarina,Contrato,Armazém,vagas CV,Ajudante de Armazém,2023-10-05,2023-10-14
Inforusado,1,São Vicente,A termo certo,"Gestão e administração, Design",PEPE-IEFP,Atendimento ao Publico para Centro de Cópias - Papelaria- Design Gráfico Obrigatório,2023-10-05,2023-10-20
"ENAPOR, S.A",2,São Vicente,Contrato,Administração,Enapor,Auxiliares de Serviços Gerais,2023-10-06,2023-11-02
MORABI COOPERATIVA,1,São Vicente,Comissão de Serviço,"Gestão, Gestão Comercial e Marketing, Economia, Finanças Empresariais",vagas CV,Gerente de Agência,2023-10-08,2023-10-20
ELECTRA,1,Praia,Contrato,Engenharia Eletrotécnica,vagas CV,Técnico Superior em Eletrotecnia,2023-10-08,2023-10-18
"Cabo Verde Airports, S.A",1,Sal,Contrato,"Contabilidade, Finanças ou áreas afins",vagas CV,Técnico Financeiro/Contabilista,2023-10-09,2023-10-31
"Torrefactora Santiago, Lda",1,Praia,Contrato,vendas e encomendas,vagas CV,Contratação de Colaborador,2023-10-10,2023-10-31
Correios de Cabo Verde,1,Praia,Contrato,"Engenharia, Matemática, Economia e /ou Gestão de Empresas",Correios de Cabo Verde, Auditor e analista de gestão de risco,2023-10-10,2023-10-23
Correios de Cabo Verde,1,Praia,Contrato,"Contabilidade, Finanças e Gestão",Correios de Cabo Verde,Técnico de Contabilidade,2023-10-10,2023-10-23
Correios de Cabo Verde,1,Praia,Contrato," Marketing, Comunicação, Publicidade e/ ou Gestão",Correios de Cabo Verde,Técnico de Marketing,2023-10-10,2023-10-23
Correios de Cabo Verde,1,Praia,Contrato," Informática de Gestão, Engenheira Informática, Engenheira de Sistemas e Informática, Ciência de Comunicação",Correios de Cabo Verde,Analista Programador,2023-10-10,2023-10-23
Correios de Cabo Verde,1,Praia,Contrato, Direito,Correios de Cabo Verde,Técnico Jurídico,2023-10-10,2023-10-23
Correios de Cabo Verde,1,Praia,Contrato,Gestão de empresas e cursos de especialização na área de Gestão Patrimonial,Correios de Cabo Verde,Gestor de Património,2023-10-10,2023-10-23
Correios de Cabo Verde,1,Praia,Contrato,"Gestão, Engenharia de Produção e/ ou MBA em Gestão da Qualidade",Correios de Cabo Verde,Gestor de Qualidade,2023-10-10,2023-10-23
Cardiomed,1,Boa Vista,Substituição de férias,Fisioterapia,vagas CV,Fisioterapia,2023-10-11,2023-10-26
Cardiomed,1,Sal,Substituição de férias,Fisioterapia,vagas CV,Fisioterapia,2023-10-11,2023-10-27
council,1,Praia,Contrato,Programador,vagas CV,Programadores,2023-10-12,2023-10-31
Ecobank,1,Praia,Contrato,Sistema de Informação/Engenharia de Informática,vagas CV,Técnico de IT & Suporte a Aplicativos,2023-10-12,2023-10-17
Assistente Administrativo,1,Praia,Contrato,Contabilidade e Gestão,vagas CV,Assistente Administrativo,2023-10-12,2023-10-20
